"日期","收盘","开盘","高","低","交易量","涨跌幅"
"1994年12月30日","647.87","648.05","651.30","643.09","54.34M","0.44%"
"1994年12月29日","645.06","649.59","658.25","642.29","78.13M","-0.70%"
"1994年12月28日","649.59","660.88","662.94","648.30","81.19M","-1.71%"
"1994年12月27日","660.88","675.88","681.10","660.15","146.91M","-2.22%"
"1994年12月26日","675.88","684.81","688.52","674.97","150.80M","-0.29%"
"1994年12月23日","677.84","673.95","695.22","673.95","326.80M","0.65%"
"1994年12月22日","673.48","672.47","676.02","658.19","172.55M","0.15%"
"1994年12月21日","672.47","667.94","691.65","665.79","262.56M","0.68%"
"1994年12月20日","667.94","660.25","674.64","654.88","127.25M","2.23%"
"1994年12月19日","653.37","684.62","685.30","653.30","87.22M","-3.95%"
"1994年12月16日","680.23","661.37","693.59","658.20","190.01M","2.03%"
"1994年12月15日","666.68","626.44","669.28","626.44","82.44M","6.63%"
"1994年12月14日","625.21","633.04","633.04","624.43","21.80M","-1.80%"
"1994年12月13日","636.66","632.69","639.88","621.80","33.33M","2.61%"
"1994年12月12日","620.47","640.52","640.52","620.46","22.91M","-3.15%"
"1994年12月9日","640.67","639.75","647.48","636.02","27.64M","-0.50%"
"1994年12月8日","643.86","652.85","654.63","643.28","18.95M","-1.38%"
"1994年12月7日","652.85","653.98","658.51","651.39","18.24M","-0.17%"
"1994年12月6日","653.98","657.00","658.22","648.75","31.00M","-1.38%"
"1994年12月5日","663.13","677.82","677.82","662.78","27.54M","-2.18%"
"1994年12月2日","677.91","685.24","685.33","677.58","65.04M","-0.64%"
"1994年12月1日","682.30","683.38","684.72","679.99","20.85M","-0.19%"
"1994年11月30日","683.59","687.03","689.96","682.81","35.10M","-0.58%"
"1994年11月29日","687.55","671.70","687.57","671.04","31.59M","0.89%"
"1994年11月28日","681.49","683.83","683.83","677.97","23.03M","-0.56%"
"1994年11月25日","685.33","690.04","694.97","684.09","60.33M","1.08%"
"1994年11月24日","678.02","674.83","683.96","674.80","-","-0.23%"
"1994年11月23日","679.61","692.39","692.39","676.49","-","-1.85%"
"1994年11月22日","692.39","702.04","705.20","690.51","-","-0.96%"
"1994年11月21日","699.10","695.75","703.59","694.00","-","0.04%"
"1994年11月18日","698.81","697.17","698.85","685.69","-","0.24%"
"1994年11月17日","697.17","707.15","709.75","696.92","-","-1.34%"
"1994年11月16日","706.63","704.93","712.33","694.22","-","0.17%"
"1994年11月15日","705.43","717.36","724.30","705.40","-","-3.81%"
"1994年11月14日","733.40","735.19","739.46","725.84","-","0.31%"
"1994年11月11日","731.16","719.69","731.17","708.07","-","2.74%"
"1994年11月10日","711.68","739.58","741.86","710.30","-","-1.69%"
"1994年11月9日","723.91","691.98","724.73","691.26","-","2.00%"
"1994年11月8日","709.69","707.27","735.23","698.14","-","5.19%"
"1994年11月7日","674.68","649.59","678.46","648.68","-","1.18%"
"1994年11月4日","666.78","718.99","718.99","664.95","-","-7.05%"
"1994年11月3日","717.36","675.32","722.39","675.32","-","7.41%"
"1994年11月2日","667.87","667.14","672.12","663.82","-","-0.88%"
"1994年11月1日","673.79","664.56","675.63","657.46","-","2.87%"
"1994年10月31日","654.98","648.24","664.93","643.63","-","-3.31%"
"1994年10月28日","677.40","691.51","702.61","676.20","-","-3.73%"
"1994年10月27日","703.67","682.02","703.72","678.39","-","2.53%"
"1994年10月26日","686.31","727.95","730.69","683.56","-","-7.81%"
"1994年10月25日","744.49","785.85","794.58","738.36","-","-5.26%"
"1994年10月24日","785.85","741.05","785.90","735.04","-","10.26%"
"1994年10月21日","712.71","730.97","746.56","706.28","-","-0.87%"
"1994年10月20日","718.99","674.89","719.00","674.89","-","10.12%"
"1994年10月19日","652.89","631.34","653.77","631.34","-","4.54%"
"1994年10月18日","624.52","625.50","629.61","619.14","-","1.33%"
"1994年10月17日","616.34","663.75","663.75","615.84","-","-7.14%"
"1994年10月14日","663.75","608.06","666.81","593.52","-","4.47%"
"1994年10月13日","635.38","708.70","708.70","634.68","-","-10.64%"
"1994年10月12日","711.01","712.39","725.48","706.50","-","0.84%"
"1994年10月11日","705.07","711.80","721.42","700.14","-","0.88%"
"1994年10月10日","698.93","678.01","727.51","667.73","-","-5.30%"
"1994年10月7日","738.03","638.32","759.67","547.26","-","11.74%"
"1994年10月6日","660.50","731.64","735.02","660.45","-","-6.50%"
"1994年10月5日","706.42","791.11","791.11","682.17","-","-10.71%"
"1994年9月30日","791.15","811.15","833.96","789.48","-","-5.74%"
"1994年9月29日","839.37","921.82","922.01","823.36","-","-8.00%"
"1994年9月28日","912.38","881.02","913.38","881.01","-","4.85%"
"1994年9月27日","870.15","880.69","886.60","865.47","-","-1.20%"
"1994年9月26日","880.69","856.17","884.06","844.27","-","1.50%"
"1994年9月23日","867.65","908.75","912.84","866.37","-","-5.53%"
"1994年9月22日","918.44","974.22","974.22","915.46","-","-5.22%"
"1994年9月21日","969.02","928.76","969.04","928.76","-","5.97%"
"1994年9月20日","914.39","922.79","933.07","897.91","-","-1.43%"
"1994年9月19日","927.62","944.26","969.72","926.26","-","-5.25%"
"1994年9月16日","978.99","983.19","992.38","954.09","-","0.66%"
"1994年9月15日","972.54","986.32","990.74","930.95","-","-0.24%"
"1994年9月14日","974.86","1,040.95","1,041.25","971.05","-","-5.67%"
"1994年9月13日","1,033.47","1,035.84","1,052.25","1,025.62","-","1.32%"
"1994年9月12日","1,019.97","962.53","1,023.24","962.53","-","5.97%"
"1994年9月9日","962.53","972.84","997.51","950.83","-","-1.06%"
"1994年9月8日","972.84","931.57","997.90","931.57","-","4.43%"
"1994年9月7日","931.57","999.43","1,016.55","922.29","-","-7.30%"
"1994年9月6日","1,004.92","940.62","1,007.34","936.97","-","6.84%"
"1994年9月5日","940.62","830.18","940.62","830.18","-","13.30%"
"1994年9月2日","830.18","796.70","830.19","796.69","-","5.06%"
"1994年9月1日","790.19","785.33","812.98","756.60","-","0.62%"
"1994年8月31日","785.33","771.24","787.09","761.42","-","3.85%"
"1994年8月30日","756.20","719.92","762.54","718.73","-","6.41%"
"1994年8月29日","710.68","712.93","716.09","706.88","-","0.46%"
"1994年8月26日","707.41","728.95","733.76","706.43","-","-2.05%"
"1994年8月25日","722.23","704.47","724.16","704.47","-","2.34%"
"1994年8月24日","705.71","718.61","726.92","704.81","-","-1.25%"
"1994年8月23日","714.61","692.60","714.66","673.44","-","4.81%"
"1994年8月22日","681.80","681.32","697.34","669.47","-","-4.49%"
"1994年8月19日","713.85","748.56","760.02","707.45","-","-4.64%"
"1994年8月18日","748.56","734.84","772.46","726.32","-","3.24%"
"1994年8月17日","725.04","693.06","725.07","693.03","-","4.62%"
"1994年8月16日","693.02","664.45","713.91","664.45","-","4.08%"
"1994年8月15日","665.88","689.66","690.75","654.91","-","-3.45%"
"1994年8月12日","689.66","676.07","731.04","676.01","-","0.05%"
"1994年8月11日","689.31","754.30","768.53","684.28","-","-6.79%"
"1994年8月10日","739.56","635.27","739.67","597.56","-","19.00%"
"1994年8月9日","621.50","705.44","705.44","608.69","-","-12.69%"
"1994年8月8日","711.80","720.48","753.07","671.44","-","4.21%"
"1994年8月5日","683.04","579.48","683.04","579.47","-","21.37%"
"1994年8月4日","562.77","558.49","592.83","534.94","-","7.61%"
"1994年8月3日","522.98","432.55","523.03","432.55","-","20.89%"
"1994年8月2日","432.61","451.17","494.17","431.86","-","-2.92%"
"1994年8月1日","445.64","394.87","448.00","378.24","-","33.46%"
"1994年7月29日","333.92","335.63","338.81","325.92","-","-1.73%"
"1994年7月28日","339.81","371.19","371.19","339.41","-","-8.45%"
"1994年7月27日","371.19","388.75","391.83","369.63","-","-4.52%"
"1994年7月26日","388.75","376.76","388.75","372.26","-","3.56%"
"1994年7月25日","375.38","355.58","375.39","354.83","-","3.20%"
"1994年7月22日","363.73","380.90","380.90","362.78","-","-4.51%"
"1994年7月21日","380.90","390.94","390.98","380.73","-","-3.29%"
"1994年7月20日","393.87","400.48","402.49","393.24","-","-1.65%"
"1994年7月19日","400.48","398.96","403.44","393.07","-","0.38%"
