"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2009年12月31日","3,277.14","3,265.00","3,282.21","3,250.03","11.65B","0.45%"
"2009年12月30日","3,262.60","3,211.83","3,267.00","3,206.22","12.95B","1.58%"
"2009年12月29日","3,211.76","3,190.17","3,212.52","3,166.76","10.26B","0.72%"
"2009年12月28日","3,188.78","3,148.86","3,202.09","3,148.86","9.12B","1.51%"
"2009年12月25日","3,141.35","3,149.23","3,154.77","3,128.15","8.45B","-0.38%"
"2009年12月24日","3,153.41","3,080.87","3,156.53","3,075.11","10.24B","2.59%"
"2009年12月23日","3,073.78","3,048.20","3,078.84","3,041.35","8.01B","0.76%"
"2009年12月22日","3,050.52","3,126.61","3,129.31","3,039.86","8.51B","-2.32%"
"2009年12月21日","3,122.97","3,108.07","3,123.99","3,088.00","7.46B","0.29%"
"2009年12月18日","3,113.89","3,154.82","3,169.58","3,108.03","10.19B","-2.05%"
"2009年12月17日","3,179.08","3,261.61","3,272.97","3,176.63","10.56B","-2.34%"
"2009年12月16日","3,255.21","3,262.86","3,299.33","3,246.61","10.39B","-0.59%"
"2009年12月15日","3,274.46","3,283.60","3,303.18","3,267.93","10.15B","-0.86%"
"2009年12月14日","3,302.90","3,246.95","3,315.03","3,178.23","11.82B","1.71%"
"2009年12月11日","3,247.32","3,260.45","3,280.94","3,242.37","9.15B","-0.21%"
"2009年12月10日","3,254.26","3,258.35","3,276.13","3,225.56","9.43B","0.45%"
"2009年12月9日","3,239.57","3,258.00","3,284.64","3,228.20","11.51B","-1.73%"
"2009年12月8日","3,296.66","3,330.33","3,330.38","3,260.67","13.71B","-1.06%"
"2009年12月7日","3,331.90","3,313.06","3,334.01","3,302.13","13.99B","0.45%"
"2009年12月4日","3,317.04","3,256.61","3,319.13","3,214.84","21.59B","1.61%"
"2009年12月3日","3,264.63","3,267.99","3,270.37","3,227.77","15.92B","-0.16%"
"2009年12月2日","3,269.75","3,252.98","3,278.27","3,245.96","17.51B","1.06%"
"2009年12月1日","3,235.36","3,191.06","3,240.66","3,173.42","16.53B","1.25%"
"2009年11月30日","3,195.30","3,114.29","3,195.88","3,114.29","13.89B","3.20%"
"2009年11月27日","3,096.26","3,137.30","3,169.76","3,080.89","14.88B","-2.36%"
"2009年11月26日","3,170.98","3,296.01","3,305.33","3,160.35","21.80B","-3.62%"
"2009年11月25日","3,290.16","3,214.82","3,291.17","3,188.02","18.90B","2.07%"
"2009年11月24日","3,223.53","3,352.22","3,361.39","3,214.03","25.02B","-3.45%"
"2009年11月23日","3,338.66","3,312.97","3,339.30","3,305.50","16.95B","0.92%"
"2009年11月20日","3,308.35","3,309.38","3,332.53","3,280.18","17.61B","-0.37%"
"2009年11月19日","3,320.61","3,311.19","3,329.03","3,285.80","17.46B","0.53%"
"2009年11月18日","3,303.23","3,287.26","3,315.87","3,274.21","15.87B","0.62%"
"2009年11月17日","3,282.89","3,291.04","3,298.38","3,275.30","16.60B","0.24%"
"2009年11月16日","3,275.05","3,206.43","3,275.55","3,206.43","20.04B","2.74%"
"2009年11月13日","3,187.65","3,164.65","3,189.09","3,127.50","15.11B","0.46%"
"2009年11月12日","3,172.95","3,181.46","3,199.87","3,163.08","13.80B","-0.07%"
"2009年11月11日","3,175.19","3,176.31","3,186.59","3,149.07","12.68B","-0.11%"
"2009年11月10日","3,178.61","3,203.17","3,211.11","3,176.26","14.24B","0.10%"
"2009年11月9日","3,175.59","3,162.15","3,176.66","3,141.77","13.92B","0.37%"
"2009年11月6日","3,164.04","3,176.14","3,183.57","3,156.99","16.35B","0.28%"
"2009年11月5日","3,155.05","3,133.51","3,158.72","3,122.52","14.55B","0.85%"
"2009年11月4日","3,128.54","3,119.31","3,141.45","3,096.35","14.54B","0.46%"
"2009年11月3日","3,114.23","3,085.74","3,121.20","3,078.94","15.06B","1.22%"
"2009年11月2日","3,076.65","2,933.82","3,077.91","2,923.53","13.73B","2.70%"
"2009年10月30日","2,995.85","3,007.25","3,027.13","2,983.93","10.48B","1.20%"
"2009年10月29日","2,960.47","2,975.20","2,993.43","2,952.01","11.03B","-2.34%"
"2009年10月28日","3,031.33","3,014.18","3,038.06","2,974.26","10.10B","0.33%"
"2009年10月27日","3,021.46","3,086.09","3,086.09","3,020.49","12.09B","-2.83%"
"2009年10月26日","3,109.57","3,114.29","3,123.36","3,083.18","11.48B","0.06%"
"2009年10月23日","3,107.85","3,057.39","3,123.46","3,057.39","13.86B","1.85%"
"2009年10月22日","3,051.41","3,068.68","3,080.66","3,045.03","10.30B","-0.62%"
"2009年10月21日","3,070.59","3,080.52","3,105.51","3,062.56","13.55B","-0.45%"
"2009年10月20日","3,084.45","3,062.55","3,084.94","3,053.64","14.37B","1.52%"
"2009年10月19日","3,038.27","2,974.64","3,039.61","2,962.31","12.06B","2.07%"
"2009年10月16日","2,976.63","2,992.74","3,008.18","2,931.92","9.22B","-0.11%"
"2009年10月15日","2,979.79","2,994.89","3,014.26","2,967.11","9.86B","0.31%"
"2009年10月14日","2,970.53","2,945.67","3,010.61","2,943.74","12.96B","1.17%"
"2009年10月13日","2,936.19","2,889.79","2,937.82","2,886.96","8.00B","1.44%"
"2009年10月12日","2,894.48","2,927.02","2,932.08","2,893.57","8.82B","-0.59%"
"2009年10月9日","2,911.72","2,840.13","2,912.55","2,834.62","8.55B","4.76%"
"2009年9月30日","2,779.43","2,772.57","2,803.86","2,763.71","6.48B","0.90%"
"2009年9月29日","2,754.54","2,763.76","2,779.69","2,712.30","7.36B","-0.33%"
"2009年9月28日","2,763.53","2,844.37","2,857.95","2,752.77","7.19B","-2.65%"
"2009年9月25日","2,838.84","2,836.70","2,864.07","2,812.92","7.52B","-0.52%"
"2009年9月24日","2,853.55","2,824.58","2,886.26","2,783.11","10.25B","0.38%"
"2009年9月23日","2,842.72","2,897.81","2,924.20","2,825.86","10.76B","-1.89%"
"2009年9月22日","2,897.55","2,956.13","2,982.89","2,896.94","12.41B","-2.34%"
"2009年9月21日","2,967.01","2,937.93","2,968.70","2,871.65","13.62B","0.15%"
"2009年9月18日","2,962.67","3,063.31","3,068.03","2,940.83","16.81B","-3.19%"
"2009年9月17日","3,060.26","3,015.59","3,064.23","3,015.59","16.07B","2.02%"
"2009年9月16日","2,999.71","3,027.51","3,028.56","2,960.59","14.74B","-1.12%"
"2009年9月15日","3,033.73","3,029.10","3,050.43","2,999.43","14.45B","0.23%"
"2009年9月14日","3,026.74","2,990.93","3,033.08","2,984.84","14.37B","1.24%"
"2009年9月11日","2,989.79","2,917.19","2,999.33","2,915.90","12.32B","2.22%"
"2009年9月10日","2,924.88","2,934.96","2,958.95","2,911.21","10.59B","-0.73%"
"2009年9月9日","2,946.26","2,944.17","2,962.29","2,900.11","13.08B","0.54%"
"2009年9月8日","2,930.47","2,865.70","2,931.23","2,831.85","12.79B","1.71%"
"2009年9月7日","2,881.12","2,877.62","2,919.35","2,860.00","13.12B","0.68%"
"2009年9月4日","2,861.61","2,841.17","2,875.98","2,827.58","12.89B","0.58%"
"2009年9月3日","2,845.02","2,722.30","2,854.16","2,715.62","12.99B","4.79%"
"2009年9月2日","2,714.97","2,681.33","2,729.71","2,669.22","8.39B","1.16%"
"2009年9月1日","2,683.72","2,649.17","2,727.08","2,639.76","9.80B","0.60%"
"2009年8月31日","2,667.74","2,817.63","2,817.63","2,663.00","11.82B","-6.74%"
"2009年8月28日","2,860.69","2,938.42","2,949.43","2,843.11","12.30B","-2.91%"
"2009年8月27日","2,946.39","2,947.83","2,988.03","2,909.89","13.67B","-0.71%"
"2009年8月26日","2,967.59","2,889.74","2,995.80","2,872.26","13.04B","1.78%"
"2009年8月25日","2,915.80","2,980.10","2,980.10","2,823.64","14.52B","-2.59%"
"2009年8月24日","2,993.43","2,982.19","3,004.90","2,944.92","12.29B","1.10%"
"2009年8月21日","2,960.77","2,905.05","2,969.52","2,883.27","12.68B","1.69%"
"2009年8月20日","2,911.58","2,798.37","2,914.64","2,798.37","11.00B","4.52%"
"2009年8月19日","2,785.58","2,916.09","2,929.06","2,761.39","11.45B","-4.30%"
"2009年8月18日","2,910.88","2,845.34","2,920.64","2,827.11","10.63B","1.40%"
"2009年8月17日","2,870.63","2,994.87","3,020.26","2,867.39","12.51B","-5.79%"
"2009年8月14日","3,046.97","3,138.15","3,146.01","3,039.30","12.58B","-2.98%"
"2009年8月13日","3,140.56","3,112.57","3,150.36","3,060.12","11.69B","0.89%"
"2009年8月12日","3,112.72","3,255.99","3,255.99","3,104.57","13.44B","-4.66%"
"2009年8月11日","3,264.73","3,261.41","3,273.02","3,222.71","10.38B","0.46%"
"2009年8月10日","3,249.76","3,287.76","3,307.89","3,201.06","12.67B","-0.34%"
"2009年8月7日","3,260.69","3,352.66","3,374.46","3,244.10","15.32B","-2.85%"
"2009年8月6日","3,356.33","3,401.48","3,419.74","3,309.61","17.48B","-2.10%"
"2009年8月5日","3,428.50","3,467.05","3,468.10","3,385.42","20.25B","-1.24%"
"2009年8月4日","3,471.44","3,477.11","3,478.01","3,404.82","21.15B","0.26%"
"2009年8月3日","3,462.59","3,429.69","3,465.17","3,398.45","20.08B","1.48%"
"2009年7月31日","3,412.06","3,354.68","3,414.14","3,333.72","19.37B","2.72%"
"2009年7月30日","3,321.56","3,281.20","3,336.64","3,215.75","19.80B","1.69%"
"2009年7月29日","3,266.43","3,419.99","3,454.02","3,174.21","27.58B","-5.00%"
"2009年7月28日","3,438.37","3,434.32","3,439.92","3,392.43","20.42B","0.09%"
"2009年7月27日","3,435.21","3,377.72","3,435.93","3,376.29","19.76B","1.86%"
"2009年7月24日","3,372.60","3,343.76","3,398.05","3,306.91","18.97B","1.33%"
"2009年7月23日","3,328.49","3,301.10","3,331.06","3,289.22","16.64B","0.97%"
"2009年7月22日","3,296.61","3,207.99","3,301.43","3,207.26","16.82B","2.60%"
"2009年7月21日","3,213.21","3,275.67","3,279.59","3,207.50","19.76B","-1.64%"
"2009年7月20日","3,266.92","3,203.89","3,269.18","3,192.90","19.89B","2.42%"
"2009年7月17日","3,189.74","3,181.06","3,197.23","3,158.57","16.47B","0.19%"
"2009年7月16日","3,183.74","3,209.78","3,221.07","3,175.96","19.12B","-0.15%"
"2009年7月15日","3,188.55","3,156.62","3,188.91","3,156.62","19.59B","1.38%"
"2009年7月14日","3,145.16","3,088.58","3,147.59","3,088.58","16.17B","2.10%"
"2009年7月13日","3,080.56","3,098.96","3,112.88","3,076.30","15.66B","-1.07%"
"2009年7月10日","3,113.93","3,124.79","3,140.04","3,099.99","16.12B","-0.29%"
"2009年7月9日","3,123.03","3,073.52","3,123.51","3,064.21","16.73B","1.37%"
"2009年7月8日","3,080.77","3,057.46","3,097.96","3,011.21","15.55B","-0.28%"
"2009年7月7日","3,089.45","3,118.27","3,130.07","3,077.48","17.88B","-1.13%"
"2009年7月6日","3,124.67","3,091.48","3,128.31","3,090.10","18.32B","1.18%"
"2009年7月3日","3,088.37","3,035.81","3,088.86","3,029.55","15.95B","0.92%"
"2009年7月2日","3,060.25","3,015.08","3,062.56","3,015.08","16.20B","1.73%"
"2009年7月1日","3,008.15","2,950.17","3,009.71","2,947.69","13.83B","1.65%"
"2009年6月30日","2,959.36","2,990.12","2,997.27","2,953.36","12.58B","-0.54%"
"2009年6月29日","2,975.31","2,930.31","2,976.92","2,918.39","12.85B","1.61%"
"2009年6月26日","2,928.21","2,930.50","2,937.61","2,910.34","10.96B","0.11%"
"2009年6月25日","2,925.05","2,926.62","2,946.90","2,909.09","11.96B","0.09%"
"2009年6月24日","2,922.30","2,889.05","2,923.47","2,880.28","14.06B","1.02%"
"2009年6月23日","2,892.70","2,853.49","2,941.05","2,841.90","14.45B","-0.12%"
