"日期","收盘","开盘","高","低","交易量","涨跌幅"
"1999年12月30日","1,366.58","1,357.82","1,366.68","1,357.82","219.80M","0.71%"
"1999年12月29日","1,356.93","1,350.27","1,358.14","1,341.93","297.82M","0.60%"
"1999年12月28日","1,348.82","1,346.45","1,368.25","1,342.94","283.56M","0.26%"
"1999年12月27日","1,345.35","1,353.53","1,359.08","1,341.05","282.68M","-0.74%"
"1999年12月24日","1,355.37","1,367.69","1,375.92","1,352.10","247.52M","-1.03%"
"1999年12月23日","1,369.46","1,386.79","1,387.19","1,364.92","304.61M","-1.30%"
"1999年12月22日","1,387.51","1,393.83","1,397.17","1,383.57","306.91M","-0.57%"
"1999年12月21日","1,395.50","1,416.50","1,416.50","1,388.06","293.79M","-1.69%"
"1999年12月17日","1,419.55","1,434.63","1,438.22","1,416.74","329.31M","-1.07%"
"1999年12月16日","1,434.87","1,451.72","1,451.94","1,432.83","362.86M","-1.12%"
"1999年12月15日","1,451.06","1,423.76","1,461.90","1,423.74","559.06M","2.02%"
"1999年12月14日","1,422.26","1,415.71","1,422.36","1,411.07","267.46M","0.36%"
"1999年12月13日","1,417.11","1,429.19","1,430.41","1,415.29","307.16M","-0.83%"
"1999年12月10日","1,428.94","1,416.37","1,429.01","1,413.45","303.56M","0.86%"
"1999年12月9日","1,416.73","1,424.91","1,424.91","1,413.62","253.15M","-0.57%"
"1999年12月8日","1,424.85","1,428.77","1,430.98","1,422.05","289.98M","-0.24%"
"1999年12月7日","1,428.26","1,426.69","1,438.04","1,424.76","264.06M","0.09%"
"1999年12月6日","1,426.99","1,436.80","1,437.18","1,422.73","273.98M","-0.71%"
"1999年12月3日","1,437.23","1,436.02","1,440.54","1,430.66","263.78M","0.10%"
"1999年12月2日","1,435.84","1,446.69","1,447.81","1,433.54","284.37M","-0.78%"
"1999年12月1日","1,447.12","1,434.98","1,447.68","1,432.95","247.46M","0.85%"
"1999年11月30日","1,434.97","1,433.90","1,439.61","1,429.55","222.47M","-0.03%"
"1999年11月29日","1,435.47","1,444.01","1,444.59","1,432.96","257.92M","-0.63%"
"1999年11月26日","1,444.51","1,443.44","1,449.03","1,441.52","248.25M","0.02%"
"1999年11月25日","1,444.24","1,451.88","1,451.89","1,439.94","272.36M","-0.71%"
"1999年11月24日","1,454.58","1,466.09","1,467.84","1,451.03","227.94M","-0.81%"
"1999年11月23日","1,466.43","1,464.93","1,471.91","1,461.38","239.60M","0.13%"
"1999年11月22日","1,464.59","1,468.22","1,468.94","1,457.61","300.09M","-0.26%"
"1999年11月19日","1,468.47","1,485.05","1,489.90","1,466.35","337.52M","-0.94%"
"1999年11月18日","1,482.45","1,466.49","1,498.08","1,454.47","540.99M","1.34%"
"1999年11月17日","1,462.79","1,429.71","1,462.85","1,427.36","326.85M","2.20%"
"1999年11月16日","1,431.32","1,463.34","1,469.60","1,428.75","429.61M","-1.39%"
"1999年11月15日","1,451.54","1,451.55","1,454.09","1,436.68","275.08M","0.08%"
"1999年11月12日","1,450.33","1,446.26","1,452.93","1,444.13","214.36M","0.45%"
"1999年11月11日","1,443.90","1,449.62","1,459.45","1,440.98","269.00M","-0.43%"
"1999年11月10日","1,450.15","1,463.69","1,463.73","1,436.74","461.60M","-0.95%"
"1999年11月9日","1,464.03","1,474.00","1,479.83","1,461.48","225.09M","-0.50%"
"1999年11月8日","1,471.38","1,464.49","1,477.13","1,458.65","228.65M","0.42%"
"1999年11月5日","1,465.23","1,464.60","1,478.83","1,460.67","247.14M","0.03%"
"1999年11月4日","1,464.83","1,474.13","1,474.13","1,457.14","264.96M","-0.74%"
"1999年11月3日","1,475.68","1,488.37","1,492.31","1,472.73","235.80M","-0.79%"
"1999年11月2日","1,487.47","1,491.76","1,499.87","1,481.57","243.15M","-0.38%"
"1999年11月1日","1,493.10","1,501.73","1,506.99","1,488.23","267.61M","-0.76%"
"1999年10月29日","1,504.56","1,515.18","1,520.47","1,494.71","373.06M","-0.66%"
"1999年10月28日","1,514.53","1,541.29","1,542.05","1,507.79","460.40M","-1.45%"
"1999年10月27日","1,536.82","1,509.64","1,537.30","1,504.99","608.25M","3.65%"
"1999年10月26日","1,482.67","1,467.52","1,496.45","1,467.51","269.06M","0.98%"
"1999年10月25日","1,468.27","1,499.14","1,499.38","1,465.14","254.99M","-1.95%"
"1999年10月22日","1,497.46","1,457.63","1,512.93","1,457.50","409.48M","2.67%"
"1999年10月21日","1,458.53","1,486.92","1,488.01","1,452.71","291.82M","-1.84%"
